row_number(),Registration number,Reg_Num_f,Group_Number_f,Notes
11,16279,NA>25728>25729>33599>33869>29347>27487>27988>28198>28322>28487>29498>29995>30461>31493>31598>31655>32817>32945>33379>33746>34054>25729;+18450>25729;+17242>25729;+26280>33599;+18450>34054;+17242>34054;+26280,NA>15>15>15>14 & 15>15>9>9>9>9>9>9>9>4>9>9>9>9>9>9>9>15>15;+5>15;+5>15;+5>15;+5>15;+5>15;+5,NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA
12,16363,NA>33599>34054>27487>27988>28198>28322>28487>29498>29995>30461>31493>31598>31655>32817>32945>33379>33746>33599;+18450,NA>15>15>9>9>9>9>9>9>9>4>9>9>9>9>9>9>9>15;+5,NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA
13,16370,NA>25729>33599>33694>33869>34054>27487>27988>28198>28322>28487>28840>29498>29775>29995>31063>31493>31598>31655>32817>32860>32945>33088>33379>33400>33697>33746>34332>34489,NA>15>15>9>14 & 15>15>9>9>9>9>9>9>9>9>9>9>9>9>9>9>10>9>9>9>9>9>9>10>9,NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA
14,16545,NA>29089>29172>29711>30341>30428>31053>31261>32497>32539>33258>33370>33538>34306,NA>1>1>1>1>1>1>1>1>1>2>2>2>1 & 1,NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA
15,16759,NA>18612>18926>14545>21742>23933,NA>3>3>3>3>3,NA>for the control of both wild oats and wild millet (green and yellow foxtail); can be applied after seeding wheat and barley only>for the control of both wild oats and wild millet (green and yellow foxtail); can be applied after seeding wheat and barley only>for the control of both wild oats and wild millet (green and yellow foxtail); can be applied after seeding wheat and barley only>for the control of both wild oats and wild millet (green and yellow foxtail); can be applied after seeding wheat and barley only>for the control of both wild oats and wild millet (green and yellow foxtail); can be applied after seeding wheat and barley only
16,17223,NA,NA,NA
17,17242,NA>25729>27827>33746>33910>34338>34429>27487>27988>28198>28322>28487>29498>29995>30461>31493>31536>31598>31655>32817>32945>33379>33599>33697>33869>34054>27487;+25728>27487;+25729>27988;+25728>27988;+25729>28198;+25728>28198;+25729>28322;+25728>28322;+25729>28487;+25728>28487;+25729>29498;+25728>29498;+25729>29995;+25728>29995;+25729>31493;+25728>31493;+25729>31598;+25728>31598;+25729>31655;+25728>31655;+25729>32817;+25728>32817;+25729>32945;+25728>32945;+25729>33379;+25728>33379;+25729>33599;+28072>33599;+25344>33599;+26920>33599;+28198>33599;+24359>33599;+25866>33599;+29124>33599;+29125>33599;+29888>33599;+33849>33599;+34720>33599;+27615>33599;+27946>33697;+25728>33697;+25729>33746;+25728>33746;+25729>34054;+25344>34054;+26920>34054;+28198>34054;+24359>34054;+25866>34054;+29124>34054;+29125>34054;+29888>34054;+33849>34054;+34720>34054;+27615>34054;+27946>25866;+25729>29022;+25729>29290;+25729>30366;+25729>24359;+25729>25344;+25729>29125;+25729>29126;+25729>29479;+25729>29480;+25729>30076;+25729>30678;+25729>30721;+25729>31063;+25729>31314;+25729>33087;+25729>33088;+25729>33671;+25729>33694;+25729>33768;+25729>29588;+25729>16279;+25729>23933;+25729>16279;+34054,NA>15>13>9>13>13>13>9>9>9>9>9>9>9>4>9>4>9>9>9>9>9>15>9>14 & 15>15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>9;+15>9;+15>9;+15>9;+15>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>7;+15>3;+15>7;+15,NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>Western Canada Only>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA
18,17511,NA>12221>27487>27891>27988>28198>28276>28322>28487>28840>29089>29172>29498>29775>29888>29995>30341>30428>31063>31493>31536>31598>31655>32265>32497>32539>32661>32795>32817>32827>32945>33011>33088>33114>33258>33370>33379>33387>33400>33538>33694>33697>33746>33762>33795>33869>33893>34190>34489>27487;+31896>27487;+23545>28198;+23957>28198;+23545>28487;+23957>28487;+23545>29498;+23957>29498;+23545>30945;+32602>30945;+33258>31493;+28761>33088;+28761>33258;+20214>33370;+20214>33370;+33520>33400;+28761>33520;+33370>33520;+32602>33520;+33258>33538;+20214>33657;+28642>33657;+30391>33657;+30431>33697;+23957>33697;+23545>25866;+32292>29022;+32292>29290;+32292>30366;+32292>24359;+32292>25344;+32292>28322;+32292>29125;+32292>29126;+32292>29479;+32292>29480;+32292>29995;+32292>30076;+32292>30678;+32292>30721;+32292>31063;+32292>31314;+32292>31493;+32292>33087;+32292>33088;+32292>33671;+32292>33694;+32292>33768;+32292,NA>6>9>4>9>9>6>9>9>9>1>1>9>9>9>9>1>1>9>9>4>9>9>4>1>1>6>4>9>6>9>6>9>4>2>2>9>4>9>2>9>9>9>4>4>14 & 15>6>6>9>9;+4>9;+4>9;+4>9;+4>9;+4>9;+4>9;+4>9;+4>2 & 2;+2>2 & 2;+2>9;+4>9;+4>2;+2>2;+2>2;+2 & 2>9;+4>2 & 2;+2>2 & 2;+2>2 & 2;+2>2;+2>4 & 2 & 4;+1>4 & 2 & 4;+4 & 1>4 & 2 & 4;+1>9;+4>9;+4>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15,"NA>Spring wheat>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>Spring wheat>NA>NA>Spring wheat>NA>Spring wheat>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>2,4-D ester is preferred>Spring wheat>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>Do not cut the treated crop for hay or graze treated crop within 7 days after application.; controls barnyard grass, green foxtail, proso millet, tame oat, volunteer canary weed, wild oat, yellow foxtail>Do not cut the treated crop for hay or graze treated crop within 7 days after application.; controls barnyard grass, green foxtail, proso millet, tame oat, volunteer canary weed, wild oat, yellow foxtail>Do not cut the treated crop for hay or graze treated crop within 7 days after application.; controls barnyard grass, green foxtail, proso millet, tame oat, volunteer canary weed, wild oat, yellow foxtail>NA>NA>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed"
19,18001,NA>25116>27487>27827>28198>28322>28487>28555>28573>28840>29089>29172>29256>29289>29498>29711>29775>29995>30341>30428>31053>31063>31261>31493>31598>31655>32817>32945>33088>33227>33258>33370>33379>33400>33538>33694>33697>33746>27988>29888>34489,NA>2>9>13>9>9>9>1>14>9>1>1>1>1>9>1>9>9>1>1>1>9>1>9>9>9>9>9>9>2>2>2>9>9>2>9>9>9>9>9>9,"NA>A rain-free period of 2 to 4 hours is needed after application; Do not graze treated crops or cut
for hay; Do not harvest field corn until 30 days and sweet corn for 40 days after application>NA>NA>NA>NA>NA>Do not tank mix with 2,4-D amine or MCPA amine formulation or with any other herbicide, insecticide, fungicide, fertilizer solution or adjuvant not recommended on the label; Do not mix with broadleaf herbicides when applying to cereal crops underseeded to forage legumes as the forages may be injured or killed.;Do not feed or graze underseeded forage crops in the year of treatment.;Do not replant treated areas to tame oats or corn for at least 4 weeks after application;Do not apply to any body of water.; Do not apply within 15 metres by ground and (50 metres by air) of non-crop areas.>FMC supports this tank mix that is not on the AIM EC label>NA>NA>NA>Do not tank mix with 2,4-D amine or MCPA amine formulation or with any other herbicide, insecticide, fungicide, fertilizer solution or adjuvant not recommended on the label; Do not mix with broadleaf herbicides when applying to cereal crops underseeded to forage legumes as the forages may be injured or killed.;Do not feed or graze underseeded forage crops in the year of treatment.;Do not replant treated areas to tame oats or corn for at least 4 weeks after application;Do not apply to any body of water.; Do not apply within 15 metres by ground and (50 metres by air) of non-crop areas.>Do not tank mix with 2,4-D amine or MCPA amine formulation or with any other herbicide, insecticide, fungicide, fertilizer solution or adjuvant not recommended on the label; Do not mix with broadleaf herbicides when applying to cereal crops underseeded to forage legumes as the forages may be injured or killed.;Do not feed or graze underseeded forage crops in the year of treatment.;Do not replant treated areas to tame oats or corn for at least 4 weeks after application;Do not apply to any body of water.; Do not apply within 15 metres by ground and (50 metres by air) of non-crop areas.>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>A rain-free period of 2 to 4 hours is needed after application; Do not graze treated crops or cut
for hay; Do not harvest field corn until 30 days and sweet corn for 40 days after application>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA"
20,18022,NA>24835>29070>29089>29256>32078>27011>25118>25118>25118>25118>25118>27487>28198>28322>28487>28840>29070>29172>29498>29711>29775>29995>30341>30391>30431>31053>31261>31365>31493>31655>32213>32448>32817>32945>33258>33370>33379>33400>33538>33551>33603>33697>33746>34306>34377>34378>34640>27598>34836>34250>34744>26277>18450>34423>28642>30168>32602>28285>28286>29268>30843>29488>29615>20214>24388>9858>14718>20306>21933>20329>27054>27860>30462>34299>9516>9853>14730>20308>27858>30461>27988>28555>29256>29289>29888>31598>34489>34306;+28285>29488;+28285>29488;+28286>29615;+28285>29615;+28286,NA>1>2>1>1>1>1>4>4>4>4>4>9>9>9>9>9>2>1>9>1>9>9>1>4 & 1>1>1>1>4>9>9>4>1>9>9>2>2>9>9>2>1>1>9>9>1 & 1>1>1>1>1>1>1>1 & 1>5>5>1>1>1>2>2 & 2>2 & 2>1>1>1>1>2>2>4>4>4>4>4>4>4>4>4>4>4>4>4>4>4>9>1>1>1>9>9>9>1 & 1;+2 & 2>1;+2 & 2>1;+2 & 2>1;+2 & 2>1;+2 & 2,"NA>NA>NA>NA>NA>NA>Spring Wheat and Durum Wheat; for use on Spring Barley in Manitoba, Saskatchewan, Alberta plus the Peace River Region of British Columbia>NA>1 L/ha Buctril M; use Merge adjuvant with tank mix; for use on barley; apply at 2 to 4 leaf stage>1 L/ha Buctril M; use Merge adjuvant with tank mix; for use on wheat (spring and durum); apply at 2 to 5 leaf stage>1 L/ha Buctril M; use Merge adjuvant with tank mix; for use on wheat (spring only); apply at 2 to 5 leaf stage>1 L/ha Buctril M; use Merge adjuvant with tank mix; for use on canary seed; apply at 3 to 5 leaf stage; avoid over application>NA>NA>NA>NA>NA>recommended in spring wheat, and durum wheat; 1 L/ha>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>1.02 L/ha Puma Advance; For use in Eastern Canada, Manitoba, Saskatchewan, Alberta and the Interior of British Columbia only.;A maximum of 1 application per year.;can be used in all varieties of spring barley and spring wheat (including hard red spring, Canada prairie spring, soft white spring and utility) and durum wheat.>1.02 L/ha Puma Advance; For use in Eastern Canada, Manitoba, Saskatchewan, Alberta and the Interior of British Columbia only.;A maximum of 1 application per year.;can be used in all varieties of spring barley and spring wheat (including hard red spring, Canada prairie spring, soft white spring and utility) and durum wheat.>7.5 g/ha of Ally and a label specified surfactant; A maximum of 1 application per year.;Barley (not underseeded with other crops) may be treated from the 2-leaf to early flag leaf stage.;Spring wheat (not underseeded with other crops) may be treated from the 2-leaf to early flag leaf stage.>7.5 g/ha of Ally and a label specified surfactant; A maximum of 1 application per year.;Barley (not underseeded with other crops) may be treated from the 2-leaf to early flag leaf stage.;Spring wheat (not underseeded with other crops) may be treated from the 2-leaf to early flag leaf stage.>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>Do not tank mix with 2,4-D amine or MCPA amine formulation or with any other herbicide, insecticide, fungicide, fertilizer solution or adjuvant not recommended on the label; Do not mix with broadleaf herbicides when applying to cereal crops underseeded to forage legumes as the forages may be injured or killed.;Do not feed or graze underseeded forage crops in the year of treatment.;Do not replant treated areas to tame oats or corn for at least 4 weeks after application;Do not apply to any body of water.; Do not apply within 15 metres by ground and (50 metres by air) of non-crop areas.>Do not tank mix with 2,4-D amine or MCPA amine formulation or with any other herbicide, insecticide, fungicide, fertilizer solution or adjuvant not recommended on the label; Do not mix with broadleaf herbicides when applying to cereal crops underseeded to forage legumes as the forages may be injured or killed.;Do not feed or graze underseeded forage crops in the year of treatment.;Do not replant treated areas to tame oats or corn for at least 4 weeks after application;Do not apply to any body of water.; Do not apply within 15 metres by ground and (50 metres by air) of non-crop areas.>Do not tank mix with 2,4-D amine or MCPA amine formulation or with any other herbicide, insecticide, fungicide, fertilizer solution or adjuvant not recommended on the label; Do not mix with broadleaf herbicides when applying to cereal crops underseeded to forage legumes as the forages may be injured or killed.;Do not feed or graze underseeded forage crops in the year of treatment.;Do not replant treated areas to tame oats or corn for at least 4 weeks after application;Do not apply to any body of water.; Do not apply within 15 metres by ground and (50 metres by air) of non-crop areas.>NA>NA>NA>NA>NA>NA>NA>NA"
21,18450,NA>16164>25729>27833>32292>32542>33599>34024>34054>29347>18022>27487>27988>28109>28198>28276>28322>28487>28840>29498>29775>29888>29995>31493>31536>31598>31655>33379>33697>33869>33893>34173>34383>34489>25729;+27833>27487;+27833>28198;+27833>28487;+27833>29498;+27833>33697;+27833>33746;+25728>33746;+25729>34054;+27833>23957;+25729>16279;+25729>23957;+33599>23957;+34054>27487;+25729>27487;+29194>27487;+25137>27487;+25728>27487;+27446>27487;+26142>27988;+25728>27988;+25729>27988;+27446>27988;+26142>28198;+25729>28198;+25137>28198;+29542>28198;+25728>28198;+27446>28198;+26142>28322;+25728>28322;+25729>28322;+27446>28322;+26142>28487;+25729>28487;+25137>28487;+29542>28487;+25728>28487;+27446>28487;+26142>29498;+25728>29498;+25729>29498;+25137>29498;+29542>29498;+27446>29498;+26142>31493;+25728>31493;+25729>31493;+27446>31493;+26142>31598;+25728>31598;+25729>32817;+25728>32817;+25729>32817;+27446>32817;+26142>32945;+25728>32945;+25729>32945;+27446>32945;+26142>33379;+27446>33379;+26142>33599;+27833>33599;+34652>33697;+25728>33697;+25729>33697;+29194>33697;+25137>33697;+27446>33697;+26142>25866;+25729>29022;+25729>29290;+25729>30366;+25729>24359;+25729>25344;+25729>29125;+25729>29126;+25729>29479;+25729>29480;+25729>29995;+25729>30076;+25729>30678;+25729>30721;+25729>31063;+25729>31314;+25729>33087;+25729>33088;+25729>33671;+25729>33694;+25729>33768;+25729>29588;+25729>25729;+31536>29347;+31536>16363;+33599>16279;+33599>32709;+33893,NA>6 & 4>15>27>14 & 15>15>15>4>15>15>6 & 4>9>9>6 & 4>9>6>9>9>9>9>9>9>9>9>4>9>9>9>9>14 & 15>6>6 & 4>6 & 4>9>15;+27>9;+27>9;+27>9;+27>9;+27>9;+27>9;+15>9;+15>15;+27>4;+15>7;+15>4;+15>4;+15>9;+15>9;+15>9;+3>9;+15>9;+27>9;+27>9;+15>9;+15>9;+27>9;+27>9;+15>9;+3>9;+3>9;+15>9;+27>9;+27>9;+15>9;+15>9;+27>9;+27>9;+15>9;+3>9;+3>9;+15>9;+27>9;+27>9;+15>9;+15>9;+3>9;+3>9;+27>9;+27>9;+15>9;+15>9;+27>9;+27>9;+15>9;+15>9;+15>9;+15>9;+27>9;+27>9;+15>9;+15>9;+27>9;+27>9;+27>9;+27>15;+27>15;+27>9;+15>9;+15>9;+15>9;+3>9;+27>9;+27>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>15;+4>15;+4>7;+15>7;+15>2 & 2;+6,NA>NA>NA>NA>field corn only>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>Eastern Canada Only>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>Eastern Canada Only>Eastern Canada Only>NA>NA>NA
22,18612,NA>16759,NA>8,NA>for the control of both wild oats and wild millet (green and yellow foxtail); can be applied after seeding wheat and barley only
23,18837,NA>28276>28322>30461>31063>31493>33400>34489>33694>33869>30838;+29264>31327;+27891>31432;+27891>9528;+34489>14725;+34489>28296;+34489>33921;+34489,NA>6>9>4>9>9>9>9>9>14 & 15>2;+4>4;+4>4;+4>4;+9>4;+9>4;+9>4;+9,NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA
24,18926,NA>16759,NA>8,NA>for the control of both wild oats and wild millet (green and yellow foxtail); can be applied after seeding wheat and barley only
25,19349,NA>25729>27487>27988>28198>28322>28487>28840>29498>29775>29888>29995>31493>31598>31655>33379>33599>33697>34054>34489>24359;+32542>25344;+32542>25866;+32542>26920;+32542>27487;+32542>27615;+32542>27764;+32542>27946;+32542>27988;+32542>28072;+32542>28198;+32542>28322;+32542>28486;+32542>28487;+32542>28608;+32542>28609;+32542>28840;+32542>28977;+32542>29022;+32542>29124;+32542>29125;+32542>29126;+32542>29290;+32542>29479;+32542>29480;+32542>29498;+32542>29588;+32542>29775;+32542>29841;+32542>29868;+32542>29888;+32542>29995;+32542>30076;+32542>30104;+32542>30366;+32542>30423;+32542>30516;+32542>30678;+32542>30721;+32542>31063;+32542>31090;+32542>31199;+32542>31314;+32542>31316;+32542>31493;+32542>31598;+32542>31655;+32542>31913;+32542>32181;+32542>32209;+32542>32228;+32542>32314;+32542>32457;+32542>32504;+32542>32532;+32542>32817;+32542>32945;+32542>33029;+32542>33087;+32542>33088;+32542>33337;+32542>33379;+32542>33400;+32542>33671;+32542>33675;+32542>33694;+32542>33697;+32542>33746;+32542>33768;+32542>33849;+32542>33850;+32542>33898;+32542>33940;+32542>33976;+32542>34044;+32542>34320;+32542>34489;+32542>34529;+32542>34674;+32542>34686;+32542>34720;+32542>34810;+32542>34847;+32542>34874;+32542,NA>15>9>9>9>9>9>9>9>9>9>9>9>9>9>9>15>9>15>9>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15,NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA
26,19521,NA,NA,NA
